essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,magic_duration_sec,autoscore_duration_sec,timestamp
AAAVUP14319000159574,ASAP,4,4,-1,,2,-1,-1,-1,-1,-1,,0.0,179.1,2026-06-04T15:05:38
AAAVUP14319000159542,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,192.3,2026-06-04T15:08:38
AAAVUP14319000159461,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,351.9,2026-06-04T15:11:51
AAAVUP14319000159420,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,208.1,2026-06-04T15:17:44
AAAVUP14319000159419,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,205.8,2026-06-04T15:21:13
AAAVUP14319000159396,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,350.2,2026-06-04T15:24:40
AAAVUP14319000159395,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,277.6,2026-06-04T15:30:31
AAAVUP14319000159373,ASAP,3,3,-1,,3,-1,-1,-1,-1,-1,,0.0,230.2,2026-06-04T15:35:10
AAAVUP14319000159359,ASAP,3,3,-1,,-1,-1,-1,-1,-1,-1,,0.0,250.4,2026-06-04T15:39:01
AAAVUP14319000159357,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,232.3,2026-06-04T15:43:13
AAAVUP14319000159314,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,213.3,2026-06-04T15:47:06
AAAVUP14319000159313,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,222.7,2026-06-04T15:50:41
AAAVUP14319000159293,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,248.2,2026-06-04T15:54:24
AAAVUP14319000159209,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,201.6,2026-06-04T15:58:34
AAAVUP14319000159171,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,206.5,2026-06-04T16:01:56
AAAVUP14319000159072,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,228.2,2026-06-04T16:05:24
AAAVUP14319000158948,ASAP,1,0,-1,,1,-1,-1,-1,-1,-1,,0.0,212.2,2026-06-04T16:09:13
AAAVUP14319000158928,ASAP,1,0,-1,,2,-1,-1,-1,-1,-1,,0.0,201.3,2026-06-04T16:12:46
AAAVUP14319000158891,ASAP,2,2,-1,,1,-1,-1,-1,-1,-1,,0.0,221.9,2026-06-04T16:16:09
AAAVUP14319000158861,ASAP,3,3,-1,,2,-1,-1,-1,-1,-1,,0.0,215.6,2026-06-04T16:19:52
AAAVUP14319000158743,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,361.8,2026-06-04T16:23:28
AAAVUP14319000158725,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,358.1,2026-06-04T16:29:32
AAAVUP14319000158687,ASAP,2,2,-1,,2,-1,-1,-1,-1,-1,,0.0,267.8,2026-06-04T16:35:31
