essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,hybrid_score,hybrid_trait1,hybrid_trait2,hybrid_trait3,hybrid_trait4,hybrid_trait5,hybrid_error,hybrid_srce_fields,magic_duration_sec,autoscore_duration_sec,hybrid_duration_sec,timestamp
AAATRP14318000418363,ASAP2-balanced,6,6,-1,,-1,-1,-1,-1,-1,-1,,4,4,4,4,4,4,,5,0.0,0.0,126.4,2026-06-12T02:34:30
AAAOPP13416000040074,ASAP2-balanced,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,129.7,2026-06-12T02:36:38
AAAOPP13416000022602,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,5,5,,5,0.0,0.0,162.0,2026-06-12T02:38:49
AAAOPP13416000070827,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,131.4,2026-06-12T02:41:32
AAAOPP13416000063986,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,2,3,2,3,2,3,,5,0.0,0.0,123.6,2026-06-12T02:43:44
AAATRP14318000419047,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,117.0,2026-06-12T02:45:49
AAAOPP13416000040077,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,160.1,2026-06-12T02:49:52
AAAVUP14319000141617,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,119.1,2026-06-12T02:52:33
AAAOPP13416000068859,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,3,3,,5,0.0,0.0,121.4,2026-06-12T02:56:40
AAAVUP14319000017286,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,144.2,2026-06-12T02:58:42
5165345,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,4,,5,0.0,0.0,173.5,2026-06-12T03:01:08
AAAOPP13416000039114,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,137.9,2026-06-12T03:04:02
AAAOPP13416000105088,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,4,,5,0.0,0.0,166.5,2026-06-12T03:11:20
AAAVUP14319000053921,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,2,2,2,,5,0.0,0.0,121.9,2026-06-12T03:16:45
AAATRP14318000367342,ASAP2-balanced,2,1,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,134.5,2026-06-12T03:18:48
AAAOPP13416000101988,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,110.1,2026-06-12T03:28:10
AAATRP14318000433192,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,3,4,3,4,4,,5,0.0,0.0,135.6,2026-06-12T03:30:01
5164232,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,3,3,2,3,,5,0.0,0.0,110.7,2026-06-12T03:32:18
AAAOPP13416000069274,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,4,4,4,4,4,4,,5,0.0,0.0,153.9,2026-06-12T03:34:10
AAAOPP13416000114620_cleaned,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,2,2,2,2,2,3,,5,0.0,0.0,106.6,2026-06-12T03:39:42
AAAOPP13416000122888,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,4,5,,5,0.0,0.0,148.2,2026-06-12T03:41:30
AAAOPP13416000039567,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,4,5,5,5,4,5,,5,0.0,0.0,155.5,2026-06-12T03:45:53
5166884,ASAP2-balanced,1,0,-1,,-1,-1,-1,-1,-1,-1,,3,3,2,3,2,3,,5,0.0,0.0,119.1,2026-06-12T03:56:07
AAAVUP14319000109670,ASAP2-balanced,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,5,5,5,5,5,,5,0.0,0.0,160.1,2026-06-12T03:58:07
AAAVUP14319000104390,ASAP2-balanced,3,2,-1,,-1,-1,-1,-1,-1,-1,,3,3,4,4,4,4,,5,0.0,0.0,161.1,2026-06-12T04:02:51
