essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,hybrid_score,hybrid_trait1,hybrid_trait2,hybrid_trait3,hybrid_trait4,hybrid_trait5,hybrid_error,hybrid_srce_fields,magic_duration_sec,autoscore_duration_sec,hybrid_duration_sec,timestamp
5205928,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5025141,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5214588,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5076960,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5342433,ASAP2-balanced-1000,3,3,-1,,-1,-1,-1,-1,-1,-1,,5,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000175706,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5171883,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
5165578,ASAP2-balanced-1000,4,4,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000603774,ASAP2-balanced-1000,6,6,-1,,-1,-1,-1,-1,-1,-1,,3,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAVUP14319000140211,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAATRP14318000103308,ASAP2-balanced-1000,5,5,-1,,-1,-1,-1,-1,-1,-1,,4,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
AAAOPP13416000005322,ASAP2-balanced-1000,1,1,-1,,-1,-1,-1,-1,-1,-1,,2,-1,-1,-1,-1,-1,,5,0.0,0.0,0.0,2026-06-16
